Structure [idcode]	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	Smiles	
fjmQ`@D^@JrSJwN}rmSbmMRDAUUU@@@	Procaterol	9.88	8.52	non-CNS	290.362	0.8971	-2.882	-1.5884	5	4	227.67	0.50412	0.8512	21	275 <= x < 300	CCC(C(c(cc1)c(C=CC(N2)=O)c2c1O)O)NC(C)C	
fj}a@@G@rJQQQIII[PkWkArVjBhJbjbhPh@@	Procyclidine	9.45		CNS	287.445	3.8185	-3.39	1.7678	2	1	237.18	0.52375	0.70181	21	275 <= x < 300	OC(CCN1CCCC1)(C1CCCCC1)c1ccccc1	
f`ip@@@V|eLsJzmNRMip@@@DP@@@	Proflavine	8.32		non-CNS	209.251	1.9379	-3.975	0.96691	3	2	158.26	0	0.70798	16	200 <= x < 225	Nc1cc2nc3cc(N)ccc3cc2cc1	
fncPa@AM]TDQfPrJIKJIQJIYHrc@i`@ijfYibA@R@	Progabide		8.5	non-CNS	334.777	2.2369	-3.905	2.2367	4	2	252.42	0.49629	0.79977	23	325 <= x < 350	NC(CCCN/C(/c(cc1)ccc1Cl)=C(\C=C(C=C1)F)/C1=O)=O	
fnk@`@@UrJIJZIPiSQHrcEZ]zNVfjjjjjZj@@	Progesterone			non-CNS	314.467	4.019	-4.542	4.019	2	0	237.39	0.29929	0.88579	23	300 <= x < 325	CC(CC1)(C(CC2)C(CC3)C1C(C)(CC1)C3=CC1=O)C2C(C)=O	
fhqhB@NRTZpHaIe]YyzcH@JZZh@`Uj@	Proguanil	10.95		non-CNS	253.736	1.7994	-4.292	-0.92347	5	3	200.14	0.51619	0.57758	17	250 <= x < 275	CC(C)/N=C(\N)/N=C(\N)/Nc(cc1)ccc1Cl	
fbmPB@NQ@DYHhhhddmbeJ\e[Sj@H@`jj@@@	Promazine	9.2		CNS	284.426	4.0009	-4.065	2.197	2	0	223.41	0.40172	0.79493	20	275 <= x < 300	CN(C)CCCN1c(cccc2)c2Sc2c1cccc2	
fmwa`DC@QXtiLllrrkW|rk^kEkUT@T@UAUP@@@	Propantheline			non-CNS	368.495	0.9635	-4.596	0.9635	4	0	289.47	0.49908	0.78235	27	350 <= x < 375	CC(C)[N+](C)(CCOC(C1c(cccc2)c2Oc2c1cccc2)=O)C(C)C	
fbm`@@@YHleEEEDhlS^\fNZjh@``A@@@	Protriptyline	10.54		CNS	263.383	3.6848	-4.343	0.54126	1	1	223.52	0.28307	0.74264	20	250 <= x < 275	CNCCCC1c(cccc2)c2C=Cc2c1cccc2	
e`R\FD@LHnmCKEko`@aJPrQQISQJIUISIYJIQHX\R^AM]GWUMTBpEUUTuMEPHT@@	Prulifloxacin	5.27	5.93	non-CNS	461.469	1.4859	-4.693	0.045451	9	1	305.26	0.38979	0.96259	32	450 <= x < 475	CC(N1c(cc2N3CCN(CC(O4)=C(C)OC4=O)CC3)c3cc2F)SC1=C(C(O)=O)C3=O	
dcNL@IBmRVYn~e``b`@@	Pyridoxal		7.97	non-CNS	167.163	0.0469	-1.101	-0.056361	4	2	130.28	0.39845	0.73034	12	150 <= x < 175	Cc1ncc(CO)c(C=O)c1O	
dcNL@FA]rJJJJJlLADU@@@	Pyridoxine			non-CNS	169.179	-0.4837	-0.661	-0.4903	4	3	130.85	0.41355	0.74044	12	150 <= x < 175	Cc1ncc(CO)c(CO)c1O	
didL@@rldTTUkjjj`@	Paraldehyde			CNS	132.158	1.0389	-1.256	1.0389	3	0	104.28	0.35207	0.65976	9	125 <= x < 150	CC1OC(C)OC(C)O1	
dg~D@D@\bbbbtJQ\]mUR@DQa@@	Phensuximide			CNS	189.213	1.2674	-1.69	1.2674	3	0	144.08	0.38842	0.66348	14	175 <= x < 200	CN(C(CC1c2ccccc2)=O)C1=O	
f`aaa@FDtXEYrlrJJKQESILERuMMU@@@	Propyliodone	12.46		non-CNS	447.001	1.778	-2.164	1.778	4	0	211.32	0.55742	0.66071	16	425 <= x < 450	CCCOC(CN(C=C(C1=O)I)C=C1I)=O	
dkmDBLdDf\bbTTJTWVj`@`@@	Pyridostigmine			CNS	181.214	-3.2827	-0.601	-3.2827	4	0	145.39	0.43926	0.62687	13	175 <= x < 200	CN(C)C(Oc1c[n+](C)ccc1)=O	
daFHaDH@aIKdfYvzB@@@	Pyrithione		4.84	non-CNS	127.167	0.2216	-4.074	-2.2138	2	0	91.17	0	0.69315	8	125 <= x < 150	[O-][n+](cccc1)c1S	
fmopb@NNKuX@cIEEEDhmdYdlddnJeXwleh@``HjjjiB@@	Quetiapine	7.06		CNS	383.515	2.73	-2.46	2.5651	5	1	293.51	0.40367	0.83968	27	375 <= x < 400	OCCOCCN(CC1)CCN1C1=Nc(cccc2)c2Sc2c1cccc2	
fcoqB@FF{dDPdrmkJkr{lmNRTxL@@@PQUUUPDOT@@	Quinacrine	10.33		non-CNS	399.964	5.256	-5.578	2.3266	4	1	318.74	0.5327	0.87243	28	375 <= x < 400	CCN(CC)CCCC(C)Nc(c1c2)c(ccc(Cl)c3)c3nc1ccc2OC	
fmwqb@LDMA@pAFRRFIIPiQIIIKQV]dlukUUUUUUAA@@@	Quinagolide	8.22		CNS	395.566	2.9702	-2.739	-1.3853	6	2	297.61	0.44606	0.86758	27	375 <= x < 400	CCCN(CC(C1)NS(N(CC)CC)(=O)=O)C(C2)C1Cc1c2cccc1O	
fhqQ`@DX@pRSJswKmNMTsUTuBU@@	Quinalbarbitone		7.48	CNS	238.286	1.5657	-2.796	1.5309	5	2	189.42	0.56942	0.73945	17	225 <= x < 250	CCCC(C)C(CC=C)(C(NC(N1)=O)=O)C1=O	
e`TTJ@@BK@DIJfdfyeeyW{gUmQM@dgofjjZJBJZj@@@@@	Quinapril		3.72	non-CNS	438.522	0.6984	-3.463	-3.0013	7	2	341.7	0.57385	0.84708	32	425 <= x < 450	CCOC(C(CCc1ccccc1)NC(C)C(N(Cc1c(C2)cccc1)C2C(O)=O)=O)=O	
fm@`@@CrQQQIIRiSISQJTViJ]yNZ}hJBbjjjjlj`@@	Quinestrol			non-CNS	364.527	5.2849	-6.071	5.2849	2	1	280.1	0.2565	0.90011	27	350 <= x < 375	CC(CC1)(C(CC2)C(CC3)C1c(cc1)c3cc1OC1CCCC1)C2(C#C)O	
fdyqa@IZ}pS`QA@cHhheHeThbqUoPPKESTTKD@@	Quinethazone			non-CNS	289.742	0.8072	-3.053	0.80419	6	3	191.47	0.31229	0.83521	18	275 <= x < 300	CCC(Nc(c1c2)cc(Cl)c2S(N)(=O)=O)NC1=O	
fi{qb@BTeCOPAFRSQIJIIQIIiI\DyHXmMT@A@UU@PAP@	Rabeprazole			non-CNS	359.449	2.18	-2.55	2.1751	6	1	276.99	0.41551	0.8003	25	350 <= x < 375	Cc(c(CS(c1nc(cccc2)c2[nH]1)=O)ncc1)c1OCCCOC	
edVXBH@CgHji`@cIEEEDddhdcBeldeDdQQhEXetLCCT`D@LPDAUUU@P@@	Raloxifene	7.95	8.89	non-CNS	473.591	5.5983	-6.867	4.9377	5	2	356.89	0.49408	0.88637	34	450 <= x < 475	Oc(cc1)ccc1-c1c(C(c(cc2)ccc2OCCN2CCCCC2)=O)c(ccc(O)c2)c2s1	
e`TRFH@LEEmiLbick`@cIEEEMLUEDeDiUDijPpeul}TsSTE@uDtuPpFT@@	Raltitrexed		3.72	non-CNS	458.494	0.7203	-3.727	-2.7193	10	4	333.65	0.54082	0.84822	32	450 <= x < 475	CC(N1)=Nc(ccc(CN(C)c2ccc(C(NC(CCC(O)=O)C(O)=O)=O)s2)c2)c2C1=O	
flu``@D@BdrnsKONc^bEKUUPQDTTNT@@	Ramelteon			CNS	259.348	3.3717	-3.48	3.3717	3	1	206.55	0.39209	0.82134	19	250 <= x < 275	CCC(NCCC1c2c(CCO3)c3ccc2CC1)=O	
eg`TJ@@BK@DILblbfbbTRtVLTVRTrW@agausUUMUUSUP@T@@@	Ramipril		3.77	non-CNS	416.516	0.6183	-3.371	-3.0329	7	2	320.96	0.57503	0.8486	30	400 <= x < 425	CCOC(C(CCc1ccccc1)NC(C)C(N(C(CCC1)C1C1)C1C(O)=O)=O)=O	
fjuIbBNF\FfR`B@rWdiVUWeVxTjjZfjjfPPd`	Ranitidine	9.55	7.12	non-CNS	314.409	-2.1832	-1.903	-3.8492	7	1	254.42	0.73682	0.59852	21	300 <= x < 325	CN/C(/C[N+]([O-])=O)=N\CCSCc1ccc(CN(C)C)o1	
dk^@@@rQQJIIEatzjBpHbJ@@	Rasagiline	8.4		CNS	171.242	1.7293	-2.506	0.4202	1	1	148.81	0.18542	0.6593	13	150 <= x < 175	C#CCNC(CC1)c2c1cccc2	
fnsa`@A@XGIEDhlihdhedZB}eMZjj`@HBJ@@@	Reboxetine	7.91		CNS	313.396	2.5587	-2.976	1.9314	4	1	253.28	0.40666	0.75761	23	300 <= x < 325	CCOc(cccc1)c1OC(C1OCCNC1)c1ccccc1	
fcEP@D\DkS`q@Wj}yEDieeDeEeCDhlnBmzJVcZiZ@Hjjjja`@@	Regadenoson			non-CNS	390.359	-2.4947	0.291	-2.4947	13	5	270.36	0.35269	0.9148	28	375 <= x < 400	CNC(c1cn(-c2nc(N)c3ncn(C(C4O)OC(CO)C4O)c3n2)nc1)=O	
eh\RLJ@MGCokFg`H`RPddEIAJPrJJIJSUSJJKYJIJFYc`jkXz@`jihHB`@f`@@@	Regorafenib			non-CNS	482.820	4.2436	-7.003	4.2433	7	3	334.91	0.51405	0.8024	33	475 <= x < 500	CNC(c1nccc(Oc(cc2)cc(F)c2NC(Nc(cc2)cc(C(F)(F)F)c2Cl)=O)c1)=O	
fmgQP@JA@apyyEDiMDeEEedceMhJZmUUTCPTTu@@@	Remifentanil	7.51		CNS	376.451	2.0301	-2.276	1.6715	7	0	297.12	0.61748	0.80949	27	375 <= x < 400	CCC(N(C1(CCN(CCC(OC)=O)CC1)C(OC)=O)c1ccccc1)=O	
ec_RFH@CFeohDMJ`\P@cIICHkEEeEDeDbihdhkEMDbTL}}rJkjmUUMPTCQSUUUUUCP@@	Remikiren	6.74		non-CNS	630.848	2.5813	-5.095	2.4948	10	5	480.1	0.50428	0.8444	44	625 <= x < 650	CC(C)(C)S(CC(Cc1ccccc1)C(NC(Cc1cnc[nH]1)C(NC(CC1CCCCC1)C(C(C1CC1)O)O)=O)=O)(=O)=O	
ff}Qb@CAHkPLSHhhdhUElhhlpRRpPQSUUUECu@@	Remoxipride	8.4		CNS	371.274	2.4991	-2.978	1.4583	5	1	255.98	0.51163	0.80395	22	350 <= x < 375	CCN1C(CNC(c(c(OC)c(cc2)Br)c2OC)=O)CCC1	
eh\TB@@OF`DFGLbfbbRrrfTTRbTTUVDTFn~AZBBJfjB`jbhJ@J`@	Repaglinide		3.68	non-CNS	452.593	4.5828	-5.003	0.85822	6	2	364.99	0.4837	0.82973	33	450 <= x < 475	CCOc(cc(CC(NC(CC(C)C)c(cccc1)c1N1CCCCC1)=O)cc1)c1C(O)=O	
eg\tI@@NbPDIBjaeoc\bbRbTRbTRVbRbrRRrvaRRRv`VTwQrMKOJnkTuUAU@uQUUUSPATT@DAD@	Rescinnamine	7.02		non-CNS	634.723	3.9046	-4.816	3.5165	11	1	476.35	0.32843	0.99979	46	625 <= x < 650	COC(C(CC1C2CC(c3c(CC4)c(ccc(OC)c5)c5[nH]3)N4C1)OC(/C=C/c(cc1OC)cc(OC)c1OC)=O)C2C(OC)=O	
ebQXBH@EAIKdP@cIEDdhhlcMHeEMHmEDgpihXL\m||CUUMUUUUUUMSUU@@@	Retapamulin	9.69		non-CNS	517.772	5.218	-5.52	2.9293	5	1	380.31	0.47904	0.94009	36	500 <= x < 525	CC(CCC(CC1)(C2C1=O)C(C)C(C(C)(C1)C=C)O)C2(C)C1OC(CSC1CC(CC2)N(C)C2C1)=O	
fmoHB@NRUXDadTRVRbRbTVbtJUFF]Ulup@T@QUU@@DPCP@	Revaprazan	5.97		non-CNS	362.451	5.2385	-5.791	5.2037	4	1	281.71	0.39919	0.85157	27	350 <= x < 375	CC(c1c(CC2)cccc1)N2c1c(C)c(C)nc(Nc(cc2)ccc2F)n1	
fe{Qc@MQlNXIADabPrJPqISSJIIKYJBTdmT@PtDDUL@HJP	Ridogrel		3.6	non-CNS	366.338	3.9549	-4.663	0.056454	5	1	273.35	0.5331	0.78531	26	350 <= x < 375	OC(CCCCO/N=C(\c1cccc(C(F)(F)F)c1)/c1cnccc1)=O	
eiw|M@@DCL`EJ`T\QUPzv|bbTTVbbtTRTRVfbVftVaffLRfRRflBbrzNf~QIcSZfBbDJjBZJZfjjjfjihRhC@alWT	Rifaximin		6.42	non-CNS	785.888	5.8431	-9.904	1.3714	14	5	580.3	0.27971	1.0906	57	775 <= x < 800	CC(C(C(C)C(C(C)C(/C=C\OC(C)(C(c1c2c3c4n(ccc(C)c5)c5n3)=O)Oc1c(C)c(O)c2c(O)c4NC(/C(/C)=C\C=C/C1C)=O)OC)OC(C)=O)O)C1O	
fcoX@@@BUiv|bTRVRbRftTTURSNV}Wo@APADADSX@HC`	Rilpivirine			non-CNS	366.427	4.7377	-7.081	4.7352	6	2	307.66	0.51493	0.75547	28	350 <= x < 375	Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc(cc2)ccc2C#N)n1	
foAQ@`LDT@HMHVdGRFRJJEIYRXhJUL@EUP@@	Riluzole			CNS	234.201	2.8837	-3.682	2.8831	3	1	150.54	0.44808	0.70075	15	225 <= x < 250	Nc1nc(ccc(OC(F)(F)F)c2)c2s1	
fhqaq@GPQa`iJAxT|LddlbdubR|EjjZ`@@@@	Risedronate		0.69	non-CNS	283.112	-6.6358	1.228	-13.356	8	5	175.48	0.59443	0.73452	17	275 <= x < 300	OC(Cc1cnccc1)(P(O)(O)=O)P(O)(O)=O	
edzvJD@JILgn]VAKEfP@atHrQQ[JYQQYQQIIZJFIIQZNKQIZXTMSPtvntsSUUPTECAPUCURuTD@@@	Ritonavir			non-CNS	720.957	4.7152	-6.066	4.7152	11	4	561.32	0.58752	0.84047	50	700 <= x < 725	CC(C)C(C(NC(CC(C(Cc1ccccc1)NC(OCc1cncs1)=O)O)Cc1ccccc1)=O)NC(N(C)Cc1csc(C(C)C)n1)=O	
ek`\JD@AGFnMOIc`Ha@HRYWmYUyWYgHhl\JjvNijZji`@jZfJAR`@	Rivaroxaban			non-CNS	435.887	1.9744	-4.558	1.9744	8	1	303.99	0.46407	0.7971	29	425 <= x < 450	O=C(c(s1)ccc1Cl)NCC(CN1c(cc2)ccc2N(CCOC2)C2=O)OC1=O	
fdiP`@LN@cHheEEehXihsUPPEUDKD@@	Rivastigmine	8.8		CNS	250.341	1.9577	-1.618	0.45848	4	0	209.17	0.58608	0.655	18	250 <= x < 275	CCN(C)C(Oc1cc(C(C)N(C)C)ccc1)=O	
ef]TB@HEO`D@ZUIrJKQRJIZSSIIEREYISI\ZVQYE]SWODtmUUUUUUTuUUUUUP@@	Rocuronium	7.96		non-CNS	529.783	1.0123	-4.143	0.34433	6	1	395.08	0.37827	0.95315	38	525 <= x < 550	CC(CC1)(C(CC2[N+]3(CC=C)CCCC3)C(CC3)C1C(C)(CC1N4CCOCC4)C3CC1O)C2OC(C)=O	
fegQ``BLTGHH`TPNPgHYEEDeMKDeLdeEFR}EoXHJF@HjjhH@@	Roflumilast			non-CNS	403.211	3.842	-5.261	3.7756	5	1	277.31	0.44014	0.78175	26	400 <= x < 425	O=C(c(cc1)cc(OCC2CC2)c1OC(F)F)Nc(c(Cl)cnc1)c1Cl	
efU\A@@EkhPAC@djmclbbbbbbbvfd|VbRbaJbWFbgcaWPqMKPMAUEUMMSUUUEP@@	Rolitetracycline	5.87	7.33	non-CNS	527.572	-0.4701	-2.383	-7.5557	11	6	359.82	0.37029	1.0735	38	525 <= x < 550	CC(C(CC(C(C(O)=C(C(NCN1CCCC1)=O)C1=O)N(C)C)C11O)C2=C1O)(c1cccc(O)c1C2=O)O	
fleQ@@DFAdTRRRaRbRQJBduPAUUT@@@	Ropinirole	10.17		CNS	260.380	2.5433	-2.773	-0.22965	3	1	220.11	0.58675	0.73701	19	250 <= x < 275	CCCN(CCC)CCc1cccc(N2)c1CC2=O	
fbuQ@@DTAdTRbbbTTRstErVj`jHjJHXH@@	Ropivacaine	7.82		CNS	274.406	3.2567	-3.373	2.6982	3	1	231.11	0.49056	0.69754	20	250 <= x < 275	CCCN(CCCC1)C1C(Nc1c(C)cccc1C)=O	
ffcQ`@EU@JVQQQQQIEYZIIbcNKUjPZBJ@B@@@	Rosoxacin		5.96	non-CNS	294.309	1.4456	-3.866	0.20208	5	1	221.16	0.30162	0.84556	22	275 <= x < 300	CCN(C=C1C(O)=O)c(cc(cc2)-c3ccncc3)c2C1=O	
ehT\FD@LNAHDIco`P@`ZPrRPsSIQJIQIGIPjYQPpiiZh@bBhDjji`@`J`	Rosuvastatin		4	non-CNS	481.543	2.1001	-5.732	-1.3	9	3	353.13	0.59029	0.84245	33	475 <= x < 500	CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c(cc2)ccc2F)c1/C=C/C(CC(CC(O)=O)O)O	
ffcaB@NE@DYHhmeEDdeBeLT\GMZYjjj`BJHBh@@	Rotigotine	10.97		CNS	315.480	4.4143	-3.658	0.84043	2	1	253.19	0.51519	0.7659	22	300 <= x < 325	CCCN(CCc1cccs1)C(CC1)Cc2c1c(O)ccc2	
fikPP@DYARVlbbRRTQTRTJbRCGhvjjZ`@jjb@@	Roxatidine acetate	8.74		non-CNS	348.441	1.8478	-2.344	0.40348	6	1	286.88	0.60513	0.63634	25	325 <= x < 350	CC(OCC(NCCCOc1cc(CN2CCCCC2)ccc1)=O)=O	
fhiIA@IJLGpICdadTTRblRrcAFm@QERsD@@	Rufinamide			CNS	238.197	0.0679	-1.903	0.067898	5	1	172.47	0.5559	0.72232	17	225 <= x < 250	NC(c1cn(Cc(c(F)ccc2)c2F)nn1)=O	
fnkX@@@DYxm\bRbbbRVLRbRUhudejwjjiZ`BIhhXh@@	Ruxolitinib			non-CNS	306.372	1.6767	-3.921	1.6712	6	1	244.68	0.40695	0.85592	23	300 <= x < 325	N#CCC(C1CCCC1)n1ncc(-c2ncnc3c2cc[nH]3)c1	
feoQ`@GQ@cbSK[Jj{JzheF\gIZcfuMUUUST@U@@@	Rauwolfia serpentina	7.33		CNS	352.433	2.2674	-3.141	1.8559	5	1	259.25	0.25259	0.94303	26	350 <= x < 375	CC(C1C2CC(c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O	
edV\HL@LBKE@@`FPadLdTRVbQRbRrbbbRRvQEG@dRVsuwuLtsUUSP@@AUP@@@	Ritanserin	8		CNS	477.578	4.2785	-6.007	3.5798	4	0	351.19	0.40513	0.86725	34	475 <= x < 500	CC(N=C1SC=CN11)=C(CCN(CC2)CCC2=C(c(cc2)ccc2F)c(cc2)ccc2F)C1=O	
fhqa`@C@DiIfU~uigHBBjjhaH`@	Salbutamol	9.67		non-CNS	239.314	0.5792	-1.431	-1.4288	4	4	190.98	0.5336	0.6593	17	225 <= x < 250	CC(C)(C)NCC(c(cc1)cc(CO)c1O)O	
fg`P@@`J^zTjjkJk{\k[zLuuUUPPQU@ATDLt@@	Salmeterol	9.66		non-CNS	415.572	3.9151	-3.62	1.9063	5	4	351.15	0.59163	0.66755	30	400 <= x < 425	OCc(cc(C(CNCCCCCCOCCCCc1ccccc1)O)cc1)c1O	
efURBJ@CLgdRBjhPLRHHfdEiCZPrJJJZIJIIHjSPrJJUSJDLZ^NIGODtsT@A@TRuULtuTE@@@	Saprisartan		2.27	non-CNS	611.438	6.3049	-7.482	1.171	8	2	385.73	0.47888	0.95022	38	600 <= x < 625	CCc1nc(C2CC2)c(C(N)=O)n1Cc(cc1)cc2c1oc(-c(cccc1)c1NS(C(F)(F)F)(=O)=O)c2Br	
ehzvJ@@DJCDmnPMHaf\bbTTRTRaTRTNbJbbRbVbQRTbT\JzaiIEMCZ`hF`fBbjB`jFjjj@h@@	Saquinavir	8.47		non-CNS	670.852	2.836	-5.658	1.7267	11	5	515.96	0.50827	0.89007	49	650 <= x < 675	CC(C)(C)NC(C1N(CC(C(Cc2ccccc2)NC(C(CC(N)=O)NC(c2nc3ccccc3cc2)=O)=O)O)CC(CCCC2)C2C1)=O	
elV\A@@Beo`FIKJai`RaHRDbDaHrDrJaDaDRDcDEHPPsRKqKjyijjjXJhEjJjjBLEQAIy@@	Sarecycline	6.22	7.25	non-CNS	487.507	-1.7982	-1.057	-9.2474	11	5	334.6	0.33452	1.0554	35	475 <= x < 500	CN(C)[C@@H]([C@H](C[C@H](Cc1c(CN(C)OC)ccc(O)c11)C(C2=O)=C1O)[C@]2(C(O)=C1C(N)=O)O)C1=O	
eo`XF@@E@DIMCClbbRbRTRaabRJbRfJjvnZjjfj@`h@bB@b`@	Sarpogrelate	8.15	3.78	non-CNS	429.511	1.8567	-3.009	-1.7615	7	1	347.01	0.54547	0.72502	31	425 <= x < 450	CN(C)CC(COc1c(CCc2cc(OC)ccc2)cccc1)OC(CCC(O)=O)=O	
fn{p`@DL|CNQQQQQSRJiZQRTkTRijekUUUU]UUUP@@	Saxagliptin	7.9		non-CNS	315.415	0.3497	-3.307	-0.26824	5	2	216.53	0.45455	0.82887	23	300 <= x < 325	NC(C(CC(C1)C2)(CC1C1)CC12O)C(N(C(C1)C1C1)C1C#N)=O	
elZRBH@LK@jhDFA@@cIICidddhhhdYeEDdejfghPTUjZjj`hB`@@@@@@	Selexipag	1.41	3.77	non-CNS	496.630	4.0083	-5.803	0.38131	8	1	386.47	0.58199	0.8218	35	475 <= x < 500	CC(C)N(CCCCOCC(NS(C)(=O)=O)=O)c1nc(-c2ccccc2)c(-c2ccccc2)nc1	
eoh^HF@CKHnaekf`IABPpdGICrPBdLbdLRTRfdRnRfRbRDTbRn^j`BIjifZ`@H@`rP	Selinexor	1.22	12.17	non-CNS	443.310	2.572	-4.583	2.5719	8	2	303.11	0.46407	0.81905	31	425 <= x < 450	O=C(/C=C\n1nc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)nc1)NNc1nccnc1	
fmoQ@`CIDBHUDMBIqFQQQIQYYQQIQEZLxgIVcW@PUUUJaAAQBa@@	Sertaconazole	6.48		non-CNS	437.777	5.0834	-5.584	4.9924	3	0	307.56	0.35668	0.84245	27	425 <= x < 450	Clc1cc(Cl)c(C(Cn2cncc2)OCc2csc3c2cccc3Cl)cc1	
eolRHD@ABikc`HcjPRYVv^YU_WYfa`RRHkJjyz@BfjB`bjihh`@@	Sertindole	8.56		CNS	440.948	4.4892	-6.89	3.2767	5	1	323.98	0.42626	0.86856	31	425 <= x < 450	O=C1N(CCN(CC2)CCC2c(c2c3ccc(Cl)c2)cn3-c(cc2)ccc2F)CCN1	
fb}`@@@YIDmMDheDUj\LzpTyjjPb@@J@@@	Setiptiline	7.44		CNS	261.367	3.5915	-3.074	3.2686	1	0	206.54	0.11384	0.86625	20	250 <= x < 275	CN(CC1)CC(c2c(C3)cccc2)=C1c1c3cccc1	
dctHxJBPRPrPFPfPVPvPrJPqJQUUUT@@	Sevoflurane			non-CNS	200.053	2.0064	-3.367	2.0064	1	0	115.03	0.73174	0.65162	12	200 <= x < 225	FCOC(C(F)(F)F)C(F)(F)F	
fle`B@M@bLbbRrdTVblhqUh@Jjjjb`H`@	Sibutramine	9.77		CNS	279.853	4.2703	-4.069	1.894	1	0	224.97	0.54296	0.73369	19	275 <= x < 300	CC(C)CC(C1(CCC1)c(cc1)ccc1Cl)N(C)C	
ehRVBH@LKHdmchDLn`@cIICEDdeieEdeDlimeKCOJamcej`hJIjijfja`@@	Sildenafil	5.99		non-CNS	474.584	0.9647	-2.164	0.5947	10	1	350.7	0.43584	0.94553	33	450 <= x < 475	CCCc1nn(C)c2c1NC(c(cc(cc1)S(N3CCN(C)CC3)(=O)=O)c1OCC)=NC2=O	
elZ\BL@OMkjICdPIABPpdLbdJTTRVrTVbRbRbURtlzFv^jjBBJj`@jZj`h@j@@	Silodosin	9.66		non-CNS	495.540	3.1061	-4.827	0.84514	7	3	371.96	0.57013	0.85231	35	475 <= x < 500	CC(Cc1cc(C(N)=O)c2N(CCCO)CCc2c1)NCCOc(cccc1)c1OCC(F)(F)F	
fcoiA`M^KUk`RAI@TaNPWH[dDfYuvvyVwZYsMV}``JjfjfjjI`h`@	Sitagliptin	8.78		non-CNS	407.317	1.5969	-1.516	0.19443	6	1	272.62	0.57046	0.81812	28	400 <= x < 425	NC(CC(N1Cc2nnc(C(F)(F)F)n2CC1)=O)Cc(c(F)c1)cc(F)c1F	
ek`TFL@JFBIEHem`H`PH\BLbbbfLabbtJbbVRHX\BFfvNfiiYjV`HJjH@@	Sitaxentan		6.89	non-CNS	454.910	3.3593	-6.559	2.7311	8	1	308.92	0.45679	0.88047	29	450 <= x < 475	Cc1noc(NS(c2c(C(Cc3c(C)cc4OCOc4c3)=O)scc2)(=O)=O)c1Cl	
ebZRE@@DFOI`NIKGAecgolbbbTRJTVTRRbbnRfRc@eTsUSUSUUULuMUT@@@	Sobuzoxane			non-CNS	514.530	-0.0122	-1.85	-0.012244	14	0	385.84	0.62598	0.78706	36	500 <= x < 525	CC(C)COC(OCN(C(CN(CCN(CC(N1COC(OCC(C)C)=O)=O)CC1=O)C1)=O)C1=O)=O	
fli@R@HHpP@QddarRRRRRRuUUUUP@@	Sodium tetradecyl sulfate		-1.45	non-CNS	294.454	3.8885	-2.571	-4.9624	4	1	249.57	0.62693	0.39608	19	275 <= x < 300	CCCCCCCCCCCCCCOS(O)(=O)=O	
ebV\ID@BA`XDLOHdjolPOBZPrRSIJIQIQSYS[QQQq[NYEMPhmUPUASEUUULrT@@@	Sofosbuvir			non-CNS	529.456	0.3578	-3.776	0.35332	12	3	371.41	0.56301	0.90501	36	525 <= x < 550	CC(C)OC(C(C)NP(OCC(C(C1(C)F)O)OC1N(C=CC(N1)=O)C1=O)(Oc1ccccc1)=O)=O	
fdiQb@LN``p@cIIChdlidiIRu@AUUDMD@@	Sotalol	9.62		non-CNS	272.368	0.1903	-2.821	-1.8422	5	3	206.65	0.59033	0.61292	18	250 <= x < 275	CC(C)NCC(c(cc1)ccc1NS(C)(=O)=O)O	
fcIa@BLbvj}`dERAPdIBPdIBPbIbIBIBXL\tyHVyKADUEUSSULU@@@	Sparfloxacin	8.79	5.56	non-CNS	392.405	-1.4535	-4.466	-3.11	7	3	269.66	0.32929	0.95917	28	375 <= x < 400	CC(C1)NC(C)CN1c(c(F)c(c1c2N(C3CC3)C=C(C(O)=O)C1=O)N)c2F	
fnsQp@OU@RdeQKdTTbVbTjbbVOERLEKUUUUUUUT@@	Spectinomycin	9.17	8.5	non-CNS	332.352	-3.1536	-0.561	-5.156	9	5	223.67	0.41742	0.93607	23	325 <= x < 350	CC(CC1=O)OC2OC(C(C(C(C3NC)O)NC)O)C3OC12O	
dgl`@@z[ReU]Ujjjj`@	Spermine	10.8		non-CNS	202.344	-0.9876	-0.772	-4.6869	4	4	191.06	0.72141	0.34657	14	200 <= x < 225	NCCCNCCCCNCCCN	
ejuxE@@FPMJfn`^SXt|bbbbTTrRRbTTRRrQrfRttRabRJDdRJfnVv~Qm]ZZjjjjejjjjjjjjjjjj`@@	Spinosad	8.56		non-CNS	745.991	5.0796	-5.681	3.8892	11	0	566.66	0.40725	1.0105	53	725 <= x < 750	CCC(CCCC(C(C)C(C(C1C2)=CC3C1C=C(C)C(C1)C3CC1OC(C(C1OC)OC)OC(C)C1OC)=O)OC(CC1)OC(C)C1N(C)C)OC2=O	
